Cell	Cluster	CellType	NumofReads
SRR5353481	3	HSC	22464
SRR5353482	3	HSC	3262
SRR5353484	3	HSC	16064
SRR5353490	3	HSC	9936
SRR5353494	3	HSC	9726
SRR5353497	3	HSC	21772
SRR5353498	3	HSC	42952
SRR5353499	3	HSC	14722
SRR5353500	3	HSC	13968
SRR5353502	3	HSC	17260
SRR5353503	3	HSC	90974
SRR5353504	3	HSC	6036
SRR5353505	3	HSC	10514
SRR5353506	3	HSC	6096
SRR5353507	3	HSC	16486
SRR5353509	3	HSC	46338
SRR5353510	3	HSC	14210
SRR5353511	3	HSC	18328
SRR5353512	3	HSC	22132
SRR5353513	3	HSC	4142
SRR5353514	3	HSC	11650
SRR5353515	3	HSC	11130
SRR5353516	3	HSC	51720
SRR5353517	3	HSC	28060
SRR5353518	3	HSC	4256
SRR5353519	3	HSC	17720
SRR5353521	3	HSC	12672
SRR5353522	3	HSC	50108
SRR5353524	3	HSC	18892
SRR5353525	3	HSC	34232
SRR5353526	3	HSC	20200
SRR5353527	3	HSC	17888
SRR5353528	3	HSC	44822
SRR5353529	3	HSC	19928
SRR5353530	3	HSC	3836
SRR5353531	3	HSC	20082
SRR5353532	3	HSC	4862
SRR5353533	2	HSC	161956
SRR5353534	3	HSC	5910
SRR5353535	3	HSC	25178
SRR5353536	3	HSC	9418
SRR5353538	3	HSC	23790
SRR5353539	3	HSC	69298
SRR5353540	3	HSC	47676
SRR5353541	3	HSC	52094
SRR5353542	3	HSC	8440
SRR5353543	3	HSC	25632
SRR5353544	3	HSC	3362
SRR5353545	3	HSC	10534
SRR5353546	3	HSC	7100
SRR5353547	3	HSC	6224
SRR5353548	3	HSC	4324
SRR5353549	3	HSC	3620
SRR5353550	3	HSC	54684
SRR5353551	3	HSC	14286
SRR5353552	3	HSC	56174
SRR5353553	3	HSC	73490
SRR5353554	3	HSC	7842
SRR5353555	3	HSC	11528
SRR5353556	3	HSC	8288
SRR5353557	3	HSC	20126
SRR5353558	3	HSC	14108
SRR5353559	3	HSC	26076
SRR5353560	3	HSC	18978
SRR5353561	3	HSC	124734
SRR5353562	3	HSC	28980
SRR5353563	3	HSC	36868
SRR5353564	3	HSC	34584
SRR5353565	3	HSC	377270
SRR5353566	3	HSC	21414
SRR5353567	3	HSC	148232
SRR5353568	3	HSC	12744
SRR5353570	3	HSC	27554
SRR5353571	3	HSC	12428
SRR5353572	3	HSC	30786
SRR5353574	3	HSC	26766
SRR5353577	3	HSC	8112
SRR5353578	3	HSC	9134
SRR5353579	3	HSC	28084
SRR5353580	3	HSC	11542
SRR5353585	3	HSC	8016
SRR5353586	3	HSC	8692
SRR5353591	3	HSC	13416
SRR5353592	3	HSC	13462
SRR5353593	3	HSC	53352
SRR5353594	3	HSC	10004
SRR5353595	3	HSC	13426
SRR5353596	3	HSC	57180
SRR5353597	3	HSC	45466
SRR5353598	3	HSC	14940
SRR5353599	3	HSC	6324
SRR5353600	3	HSC	3696
SRR5353601	3	HSC	23000
SRR5353602	3	HSC	51598
SRR5353603	3	HSC	35032
SRR5353604	3	HSC	11518
SRR5353605	3	HSC	20424
SRR5353607	3	HSC	8762
SRR5353608	3	HSC	23168
SRR5353609	3	HSC	13516
SRR5353610	3	HSC	11492
SRR5353611	3	HSC	10260
SRR5353613	3	HSC	8360
SRR5353614	3	HSC	9300
SRR5353615	3	HSC	61250
SRR5353616	3	HSC	7862
SRR5353617	3	HSC	14610
SRR5353618	3	HSC	12526
SRR5353619	3	HSC	22976
SRR5353620	3	HSC	26754
SRR5353621	3	HSC	7446
SRR5353622	3	HSC	20798
SRR5353623	3	HSC	33948
SRR5353624	3	HSC	6710
SRR5353625	3	HSC	10232
SRR5353626	3	HSC	8976
SRR5353628	3	HSC	30964
SRR5353629	3	HSC	11500
SRR5353630	3	HSC	91046
SRR5353631	3	HSC	21346
SRR5353632	3	HSC	13860
SRR5353633	3	HSC	10206
SRR5353634	3	HSC	60056
SRR5353635	3	HSC	8708
SRR5353636	3	HSC	17742
SRR5353637	3	HSC	8336
SRR5353638	3	HSC	44298
SRR5353639	3	HSC	23686
SRR5353640	3	HSC	51138
SRR5353641	3	HSC	14568
SRR5353642	3	HSC	30680
SRR5353643	3	HSC	10782
SRR5353644	3	HSC	20862
SRR5353645	3	HSC	7814
SRR5353646	3	HSC	7424
SRR5353647	3	HSC	10180
SRR5353652	3	HSC	18856
SRR5353653	3	HSC	15002
SRR5353654	3	HSC	11030
SRR5353655	3	HSC	27052
SRR5353656	3	HSC	34870
SRR5353657	3	HSC	11612
SRR5353658	3	HSC	93972
SRR5353659	3	HSC	9278
SRR5353660	3	HSC	30776
SRR5353661	3	HSC	590750
SRR5353662	3	HSC	4310
SRR5353663	3	HSC	9702
SRR5353665	3	HSC	9478
SRR5353666	3	HSC	13706
SRR5353667	3	HSC	20034
SRR5353668	3	HSC	21248
SRR5353669	3	HSC	13504
SRR5353670	3	HSC	8278
SRR5353671	3	HSC	5814
SRR5353674	3	HSC	8734
SRR5353675	3	HSC	11374
SRR5353676	3	HSC	5450
SRR5353677	3	HSC	42474
SRR5353678	3	HSC	19348
SRR5353679	3	HSC	35322
SRR5353680	3	HSC	8440
SRR5353681	3	HSC	15794
SRR5353683	3	HSC	3392
SRR5353684	3	HSC	34890
SRR5353685	3	HSC	16988
SRR5353686	3	HSC	13010
SRR5353687	3	HSC	24482
SRR5353688	3	HSC	7766
SRR5353689	3	HSC	28298
SRR5353690	3	HSC	15192
SRR5353692	3	HSC	32488
SRR5353693	2	HSC	120398
SRR5353694	3	HSC	33774
SRR5353695	3	HSC	9074
SRR5353696	3	HSC	48066
SRR5353697	3	HSC	8640
SRR5353698	3	HSC	11444
SRR5353699	3	HSC	11192
SRR5353700	3	HSC	7164
SRR5353701	3	HSC	36516
SRR5353702	3	HSC	28744
SRR5353703	3	HSC	33270
SRR5353704	3	HSC	40616
SRR5353705	3	HSC	22304
SRR5353706	3	HSC	31632
SRR5353707	3	HSC	10900
SRR5353708	3	HSC	45786
SRR5353709	3	HSC	9604
SRR5353710	3	HSC	4858
SRR5353711	3	HSC	16946
SRR5353712	3	HSC	10930
SRR5353713	3	HSC	30736
SRR5353714	3	HSC	21376
SRR5353715	3	HSC	40752
SRR5353716	3	HSC	32346
SRR5353717	3	HSC	8410
SRR5353719	3	HSC	5064
SRR5353720	3	HSC	23602
SRR5353721	3	HSC	13570
SRR5353722	3	HSC	12402
SRR5353723	3	HSC	27342
SRR5353724	3	HSC	10694
SRR5353725	3	HSC	9754
SRR5353727	3	HSC	23720
SRR5353728	3	HSC	46858
SRR5353729	3	HSC	20362
SRR5353730	3	HSC	23190
SRR5353731	3	HSC	13668
SRR5353732	3	HSC	31552
SRR5353734	3	HSC	16702
SRR5353735	3	HSC	4884
SRR5353736	3	HSC	14380
SRR5353737	3	HSC	50724
SRR5353738	3	HSC	15358
SRR5353740	3	HSC	30706
SRR5353743	3	HSC	17120
SRR5353744	3	HSC	48100
SRR5353745	3	HSC	6216
SRR5353746	3	HSC	26114
SRR5353747	3	HSC	30206
SRR5353749	3	HSC	44066
SRR5353750	3	HSC	12202
SRR5353751	3	HSC	33268
SRR5353752	3	HSC	4376
SRR5353753	3	HSC	15016
SRR5353756	3	HSC	31274
SRR5353757	3	HSC	92892
SRR5353758	3	HSC	137470
SRR5353759	3	HSC	14598
SRR5353760	3	HSC	9040
SRR5353762	3	HSC	5878
SRR5353775	3	HSC	7020
SRR5353780	3	HSC	18570
SRR5353791	3	HSC	6606
SRR5353796	3	HSC	6406
SRR5353797	3	HSC	6796
SRR5353798	3	HSC	3614
SRR5353799	3	HSC	6184
SRR5353803	3	HSC	9014
SRR5353804	3	HSC	36078
SRR5353805	3	HSC	10222
SRR5353807	3	HSC	18562
SRR5353808	3	HSC	3288
SRR5353809	3	HSC	11932
SRR5353810	3	HSC	5496
SRR5353811	3	HSC	47306
SRR5353812	3	HSC	33560
SRR5353813	3	HSC	6974
SRR5353814	3	HSC	21378
SRR5353816	3	HSC	4164
SRR5353817	3	HSC	12948
SRR5353818	3	HSC	13182
SRR5353819	3	HSC	17738
SRR5353820	3	HSC	4846
SRR5353821	3	HSC	9400
SRR5353822	3	HSC	9062
SRR5353824	3	HSC	6102
SRR5353825	3	HSC	16162
SRR5353826	3	HSC	16330
SRR5353827	3	HSC	21120
SRR5353829	3	HSC	22274
SRR5353831	3	HSC	25512
SRR5353832	3	HSC	4546
SRR5353833	3	HSC	15348
SRR5353834	3	HSC	8566
SRR5353835	3	HSC	56802
SRR5353836	3	HSC	24064
SRR5353837	3	HSC	9392
SRR5353841	3	HSC	12910
SRR5353842	3	HSC	31444
SRR5353843	3	HSC	22196
SRR5353844	3	HSC	3564
SRR5353845	3	HSC	25778
SRR5353847	3	HSC	4650
SRR5353849	3	HSC	13830
SRR5353850	3	HSC	15774
SRR5353852	3	HSC	4552
SRR5353855	3	HSC	5572
SRR5353856	3	HSC	5414
SRR5353857	3	MPP	4594
SRR5353858	3	MPP	5842
SRR5353861	3	MPP	13028
SRR5353862	3	MPP	3514
SRR5353863	3	MPP	6766
SRR5353864	3	MPP	14596
SRR5353865	3	MPP	39084
SRR5353866	3	MPP	13910
SRR5353867	3	MPP	11692
SRR5353869	3	MPP	16060
SRR5353870	3	MPP	7712
SRR5353871	3	MPP	3682
SRR5353872	3	MPP	10654
SRR5353873	3	MPP	13612
SRR5353874	3	MPP	46144
SRR5353875	3	MPP	10252
SRR5353876	3	MPP	8060
SRR5353878	3	MPP	5758
SRR5353880	3	MPP	7308
SRR5353881	3	MPP	12272
SRR5353882	3	MPP	10034
SRR5353883	3	MPP	41060
SRR5353884	3	MPP	14952
SRR5353886	3	MPP	15524
SRR5353887	3	MPP	75434
SRR5353888	3	MPP	14116
SRR5353890	3	MPP	3862
SRR5353891	3	MPP	26602
SRR5353892	3	MPP	6970
SRR5353893	3	MPP	18174
SRR5353894	3	MPP	7918
SRR5353895	2	MPP	8528
SRR5353896	3	MPP	16418
SRR5353897	3	MPP	5550
SRR5353898	3	MPP	17468
SRR5353899	3	MPP	7572
SRR5353901	3	MPP	14294
SRR5353902	3	MPP	3744
SRR5353903	3	MPP	6114
SRR5353904	3	MPP	7986
SRR5353905	3	MPP	9870
SRR5353906	3	MPP	5558
SRR5353907	3	MPP	22490
SRR5353908	3	MPP	12988
SRR5353910	3	MPP	18052
SRR5353911	3	MPP	21530
SRR5353912	3	MPP	34960
SRR5353913	3	MPP	10222
SRR5353914	3	MPP	3850
SRR5353915	3	MPP	14326
SRR5353916	3	MPP	3088
SRR5353917	3	MPP	25406
SRR5353919	3	MPP	13618
SRR5353920	3	MPP	15288
SRR5353921	3	MPP	6844
SRR5353922	3	MPP	38324
SRR5353923	3	MPP	29608
SRR5353924	3	MPP	20638
SRR5353925	2	MPP	12862
SRR5353926	3	MPP	19788
SRR5353927	3	MPP	11184
SRR5353928	3	MPP	13412
SRR5353929	3	MPP	9046
SRR5353930	3	MPP	9760
SRR5353932	3	MPP	17902
SRR5353934	3	MPP	25460
SRR5353935	3	MPP	7696
SRR5353936	2	MPP	14148
SRR5353937	3	MPP	32652
SRR5353938	3	MPP	5776
SRR5353939	3	MPP	4028
SRR5353940	3	MPP	3176
SRR5353941	3	MPP	35444
SRR5353942	3	MPP	7550
SRR5353944	3	MPP	9946
SRR5353945	3	MPP	3252
SRR5353946	3	MPP	7052
SRR5353947	2	MPP	98890
SRR5353948	3	MPP	11162
SRR5353949	3	MPP	78494
SRR5353950	3	MPP	178184
SRR5353951	3	MPP	30150
SRR5353952	3	MPP	6158
SRR5353954	3	MPP	12292
SRR5353955	3	MPP	15804
SRR5353956	3	MPP	20090
SRR5353957	3	MPP	9486
SRR5353958	3	MPP	13970
SRR5353959	4	MPP	19500
SRR5353960	3	MPP	8376
SRR5353961	3	MPP	18014
SRR5353962	2	MPP	19320
SRR5353963	3	MPP	24394
SRR5353964	2	MPP	75238
SRR5353965	3	MPP	22332
SRR5353966	3	MPP	11476
SRR5353968	3	MPP	9452
SRR5353969	3	MPP	12938
SRR5353970	3	MPP	4836
SRR5353971	3	MPP	18018
SRR5353972	2	MPP	23988
SRR5353974	3	MPP	37832
SRR5353975	3	MPP	17620
SRR5353976	3	MPP	11078
SRR5353977	2	MPP	22516
SRR5353978	3	MPP	5620
SRR5353979	3	MPP	26220
SRR5353980	3	MPP	5386
SRR5353981	3	MPP	38840
SRR5353982	2	MPP	40536
SRR5353983	3	MPP	15478
SRR5353984	3	MPP	16252
SRR5353985	2	MPP	8662
SRR5353986	2	MPP	28416
SRR5353987	2	MPP	11860
SRR5353988	2	MPP	18082
SRR5353989	3	MPP	27302
SRR5353990	3	MPP	14252
SRR5353991	2	MPP	62240
SRR5353992	3	MPP	16466
SRR5353993	2	MPP	7092
SRR5353994	3	MPP	8090
SRR5353995	3	MPP	20336
SRR5353996	3	MPP	10064
SRR5353997	3	MPP	4034
SRR5353998	3	MPP	67952
SRR5353999	2	MPP	5936
SRR5354001	3	MPP	16720
SRR5354002	3	MPP	7510
SRR5354003	3	MPP	23606
SRR5354004	3	MPP	7862
SRR5354005	3	MPP	7026
SRR5354006	2	MPP	20110
SRR5354007	3	MPP	9392
SRR5354008	2	MPP	42856
SRR5354009	3	MPP	11878
SRR5354010	3	MPP	19606
SRR5354011	3	MPP	17270
SRR5354012	3	MPP	4622
SRR5354016	3	MPP	45310
SRR5354017	3	MPP	32722
SRR5354018	3	MPP	22108
SRR5354019	3	MPP	4098
SRR5354020	3	MPP	25304
SRR5354021	3	MPP	13774
SRR5354022	2	MPP	53738
SRR5354023	3	MPP	21246
SRR5354025	3	MPP	15916
SRR5354027	3	MPP	24200
SRR5354030	2	MPP	20542
SRR5354031	3	MPP	13860
SRR5354032	3	MPP	12700
SRR5354033	3	MPP	18650
SRR5354034	3	MPP	13870
SRR5354035	2	MPP	22194
SRR5354037	3	MPP	14612
SRR5354039	2	MPP	20528
SRR5354042	3	MPP	6760
SRR5354043	3	MPP	6550
SRR5354044	2	MPP	11026
SRR5354045	3	MPP	17986
SRR5354048	3	MPP	5408
SRR5354049	3	LMPP	5390
SRR5354050	3	LMPP	25200
SRR5354051	3	LMPP	57698
SRR5354052	3	LMPP	26550
SRR5354053	3	LMPP	37934
SRR5354054	4	LMPP	14682
SRR5354055	1	LMPP	8174
SRR5354056	1	LMPP	20024
SRR5354057	4	LMPP	92356
SRR5354058	3	LMPP	30890
SRR5354059	4	LMPP	72132
SRR5354060	4	LMPP	11312
SRR5354061	3	LMPP	6024
SRR5354062	4	LMPP	12672
SRR5354063	1	LMPP	5362
SRR5354064	1	LMPP	19836
SRR5354065	1	LMPP	6118
SRR5354066	3	LMPP	23774
SRR5354067	1	LMPP	10686
SRR5354068	3	LMPP	3880
SRR5354069	1	LMPP	10972
SRR5354070	1	LMPP	14500
SRR5354071	3	LMPP	26522
SRR5354072	3	LMPP	17620
SRR5354073	1	LMPP	22282
SRR5354074	3	LMPP	17220
SRR5354075	3	LMPP	33274
SRR5354076	3	LMPP	20650
SRR5354077	1	LMPP	19306
SRR5354078	4	LMPP	18746
SRR5354079	4	LMPP	16332
SRR5354080	3	LMPP	94304
SRR5354081	3	LMPP	47044
SRR5354082	1	LMPP	29018
SRR5354083	3	LMPP	39892
SRR5354084	3	LMPP	17922
SRR5354085	1	LMPP	17866
SRR5354086	1	LMPP	7680
SRR5354087	3	LMPP	22552
SRR5354088	3	LMPP	44526
SRR5354089	3	LMPP	29380
SRR5354090	3	LMPP	36360
SRR5354091	3	LMPP	5482
SRR5354092	3	LMPP	10830
SRR5354093	3	LMPP	18846
SRR5354094	3	LMPP	28884
SRR5354095	1	LMPP	16660
SRR5354096	3	LMPP	11976
SRR5354097	1	LMPP	16238
SRR5354098	3	LMPP	39356
SRR5354099	4	LMPP	22802
SRR5354100	3	LMPP	26404
SRR5354102	4	LMPP	130952
SRR5354103	1	LMPP	34748
SRR5354104	1	LMPP	32974
SRR5354105	1	LMPP	39994
SRR5354106	1	LMPP	70390
SRR5354107	3	LMPP	26000
SRR5354108	3	LMPP	33102
SRR5354109	1	LMPP	7202
SRR5354110	1	LMPP	13558
SRR5354111	3	LMPP	15610
SRR5354112	3	LMPP	25802
SRR5354113	3	LMPP	32454
SRR5354114	3	LMPP	20858
SRR5354115	1	LMPP	6992
SRR5354117	3	LMPP	8352
SRR5354118	4	LMPP	47016
SRR5354119	3	LMPP	24520
SRR5354120	1	LMPP	14120
SRR5354121	1	LMPP	14950
SRR5354122	1	LMPP	6076
SRR5354123	3	LMPP	23390
SRR5354124	1	LMPP	28360
SRR5354125	1	LMPP	11638
SRR5354126	3	LMPP	37082
SRR5354127	3	LMPP	6170
SRR5354128	3	LMPP	26100
SRR5354129	3	LMPP	26072
SRR5354130	1	LMPP	29620
SRR5354131	3	LMPP	35486
SRR5354132	3	LMPP	14526
SRR5354133	3	LMPP	35706
SRR5354134	3	LMPP	8770
SRR5354135	3	LMPP	37646
SRR5354136	3	LMPP	30114
SRR5354137	3	LMPP	36184
SRR5354138	3	LMPP	36480
SRR5354139	1	LMPP	10504
SRR5354140	3	LMPP	40532
SRR5354142	3	LMPP	115814
SRR5354143	3	LMPP	52024
SRR5354144	3	LMPP	7548
SRR5354145	2	CMP	8506
SRR5354146	2	CMP	11312
SRR5354147	3	CMP	14252
SRR5354148	2	CMP	14058
SRR5354149	4	CMP	14998
SRR5354150	3	CMP	5880
SRR5354151	4	CMP	102166
SRR5354152	2	CMP	7050
SRR5354153	3	CMP	21166
SRR5354154	2	CMP	10798
SRR5354156	2	CMP	13450
SRR5354157	3	CMP	5502
SRR5354158	4	CMP	19218
SRR5354159	4	CMP	20422
SRR5354160	2	CMP	21838
SRR5354162	2	CMP	29016
SRR5354163	2	CMP	9538
SRR5354164	4	CMP	6612
SRR5354165	2	CMP	10306
SRR5354166	3	CMP	15246
SRR5354167	3	CMP	33930
SRR5354168	2	CMP	9074
SRR5354169	2	CMP	25528
SRR5354170	4	CMP	32782
SRR5354171	4	CMP	29184
SRR5354172	2	CMP	24668
SRR5354173	2	CMP	5190
SRR5354174	2	CMP	22914
SRR5354175	2	CMP	16966
SRR5354176	3	CMP	18104
SRR5354177	3	CMP	9254
SRR5354178	2	CMP	7038
SRR5354179	3	CMP	21214
SRR5354180	4	CMP	9562
SRR5354181	2	CMP	16828
SRR5354182	2	CMP	115104
SRR5354183	2	CMP	25738
SRR5354184	3	CMP	46298
SRR5354186	2	CMP	21870
SRR5354187	3	CMP	20726
SRR5354188	2	CMP	10968
SRR5354189	2	CMP	13754
SRR5354190	3	CMP	36474
SRR5354193	3	CMP	4938
SRR5354194	3	CMP	6700
SRR5354195	2	CMP	5474
SRR5354196	3	CMP	18084
SRR5354197	4	CMP	11094
SRR5354199	2	CMP	24178
SRR5354200	4	CMP	12528
SRR5354201	4	CMP	10640
SRR5354202	2	CMP	17292
SRR5354203	2	CMP	19876
SRR5354204	3	CMP	65118
SRR5354205	3	CMP	29868
SRR5354206	3	CMP	8402
SRR5354207	2	CMP	159468
SRR5354208	3	CMP	99910
SRR5354209	4	CMP	10572
SRR5354210	4	CMP	9074
SRR5354211	3	CMP	29596
SRR5354212	3	CMP	6582
SRR5354213	3	CMP	23004
SRR5354214	2	CMP	12672
SRR5354215	4	CMP	58188
SRR5354216	3	CMP	20490
SRR5354217	2	CMP	101500
SRR5354218	3	CMP	20960
SRR5354219	3	CMP	28114
SRR5354220	3	CMP	20006
SRR5354221	2	CMP	20290
SRR5354222	2	CMP	19750
SRR5354223	3	CMP	5216
SRR5354224	4	CMP	5764
SRR5354225	2	CMP	74198
SRR5354226	4	CMP	5508
SRR5354227	3	CMP	18530
SRR5354228	4	CMP	15108
SRR5354229	2	CMP	41082
SRR5354230	2	CMP	26372
SRR5354231	3	CMP	9126
SRR5354232	2	CMP	7798
SRR5354233	2	CMP	4968
SRR5354234	2	CMP	5274
SRR5354235	2	CMP	20688
SRR5354236	2	CMP	24458
SRR5354237	2	CMP	143566
SRR5354238	2	CMP	146200
SRR5354239	3	CMP	18952
SRR5354240	2	CMP	334356
SRR5354241	2	CMP	82404
SRR5354242	2	CMP	17790
SRR5354243	2	CMP	6644
SRR5354244	2	CMP	14164
SRR5354246	2	CMP	15950
SRR5354247	2	CMP	57742
SRR5354248	2	CMP	29244
SRR5354249	2	CMP	100854
SRR5354250	3	CMP	30200
SRR5354251	3	CMP	29334
SRR5354252	4	CMP	15946
SRR5354253	3	CMP	25474
SRR5354254	2	CMP	10164
SRR5354255	2	CMP	16762
SRR5354256	2	CMP	245052
SRR5354257	2	CMP	5874
SRR5354258	4	CMP	25384
SRR5354259	2	CMP	75096
SRR5354260	2	CMP	9336
SRR5354261	2	CMP	60228
SRR5354262	2	CMP	34306
SRR5354263	3	CMP	71314
SRR5354264	3	CMP	23556
SRR5354265	3	CMP	38360
SRR5354266	2	CMP	20646
SRR5354267	3	CMP	23408
SRR5354268	2	CMP	49360
SRR5354269	2	CMP	16766
SRR5354270	4	CMP	35404
SRR5354271	3	CMP	22694
SRR5354272	3	CMP	26092
SRR5354273	3	CMP	28312
SRR5354274	2	CMP	62478
SRR5354275	3	CMP	22224
SRR5354276	2	CMP	330328
SRR5354277	2	CMP	82626
SRR5354278	2	CMP	33788
SRR5354279	2	CMP	14632
SRR5354280	2	CMP	28898
SRR5354281	3	CMP	17810
SRR5354282	2	CMP	37326
SRR5354283	2	CMP	12898
SRR5354284	2	CMP	37066
SRR5354285	2	CMP	42832
SRR5354286	3	CMP	14392
SRR5354287	2	CMP	41518
SRR5354288	2	CMP	211406
SRR5354289	3	CMP	18602
SRR5354290	2	CMP	26136
SRR5354291	2	CMP	24660
SRR5354292	2	CMP	46224
SRR5354293	2	CMP	17090
SRR5354294	2	CMP	43334
SRR5354295	4	CMP	34314
SRR5354296	2	CMP	6996
SRR5354297	2	CMP	15590
SRR5354298	2	CMP	6002
SRR5354299	2	CMP	31872
SRR5354300	2	CMP	42318
SRR5354301	3	CMP	7970
SRR5354302	2	CMP	27386
SRR5354303	2	CMP	20686
SRR5354304	4	CMP	23726
SRR5354305	2	CMP	19968
SRR5354306	2	CMP	25154
SRR5354307	2	CMP	45546
SRR5354308	3	CMP	53310
SRR5354309	2	CMP	480188
SRR5354310	4	CMP	22220
SRR5354311	3	CMP	56632
SRR5354312	3	CMP	20374
SRR5354313	2	CMP	47520
SRR5354314	2	CMP	16530
SRR5354315	3	CMP	35586
SRR5354316	4	CMP	26548
SRR5354317	2	CMP	5378
SRR5354318	2	CMP	20886
SRR5354319	3	CMP	16332
SRR5354320	2	CMP	12132
SRR5354321	3	CMP	18872
SRR5354322	2	CMP	164290
SRR5354323	2	CMP	23806
SRR5354324	2	CMP	199002
SRR5354325	2	CMP	15136
SRR5354326	2	CMP	41914
SRR5354327	2	CMP	120954
SRR5354328	2	CMP	55884
SRR5354329	2	CMP	436618
SRR5354330	4	CMP	42926
SRR5354331	2	CMP	21090
SRR5354333	3	CMP	123788
SRR5354334	2	CMP	18122
SRR5354335	4	CMP	82586
SRR5354336	2	CMP	222334
SRR5354337	2	CMP	21480
SRR5354338	2	CMP	6522
SRR5354339	3	CMP	24556
SRR5354341	2	CMP	12318
SRR5354342	2	CMP	13994
SRR5354343	2	CMP	12836
SRR5354344	2	CMP	206268
SRR5354345	2	CMP	10420
SRR5354346	4	CMP	21920
SRR5354347	3	CMP	59076
SRR5354348	4	CMP	29818
SRR5354349	2	CMP	6020
SRR5354350	2	CMP	32918
SRR5354351	3	CMP	64640
SRR5354352	3	CMP	11192
SRR5354353	3	CMP	15610
SRR5354355	2	CMP	38910
SRR5354356	2	CMP	50760
SRR5354357	2	CMP	53050
SRR5354358	3	CMP	190726
SRR5354360	2	CMP	6984
SRR5354361	4	CMP	24210
SRR5354362	2	CMP	8752
SRR5354363	2	CMP	264458
SRR5354364	2	CMP	49786
SRR5354366	2	CMP	39168
SRR5354367	3	CMP	54796
SRR5354368	3	CMP	93626
SRR5354369	3	CMP	28782
SRR5354370	2	CMP	151534
SRR5354371	2	CMP	23230
SRR5354372	3	CMP	18332
SRR5354373	2	CMP	54664
SRR5354374	2	CMP	32800
SRR5354375	2	CMP	53932
SRR5354376	2	CMP	63276
SRR5354377	2	CMP	65024
SRR5354378	2	CMP	6292
SRR5354379	3	CMP	10600
SRR5354380	3	CMP	47752
SRR5354381	3	CMP	7286
SRR5354382	3	CMP	16034
SRR5354383	2	CMP	7480
SRR5354384	2	CMP	567926
SRR5354385	2	CMP	37462
SRR5354386	2	CMP	26906
SRR5354387	2	CMP	37042
SRR5354388	3	CMP	35096
SRR5354389	3	CMP	21858
SRR5354390	2	CMP	11616
