AvgSpotLen	BioSample	Experiment	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	cell_line	cell_type	disease_status	patient	source_name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study	gender
132	SAMN08144498	SRX3454141	2017-12-07	63	25	2018-04-20	SRR6357714	SRS2742839	GSM2879682	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
141	SAMN08144497	SRX3454142	2017-12-07	19	7	2018-04-20	SRR6357715	SRS2742840	GSM2879683	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
114	SAMN08144496	SRX3454143	2017-12-07	2	1	2018-04-20	SRR6357716	SRS2742841	GSM2879684	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
148	SAMN08144495	SRX3454144	2017-12-07	0	0	2018-04-20	SRR6357717	SRS2742843	GSM2879685	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
139	SAMN08144494	SRX3454145	2017-12-07	8	3	2018-04-20	SRR6357718	SRS2742842	GSM2879686	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
134	SAMN08144493	SRX3454146	2017-12-07	51	20	2018-04-20	SRR6357719	SRS2742844	GSM2879687	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
134	SAMN08144492	SRX3454147	2017-12-07	78	31	2018-04-20	SRR6357720	SRS2742845	GSM2879688	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
121	SAMN08144491	SRX3454148	2017-12-07	4	1	2018-04-20	SRR6357721	SRS2742846	GSM2879689	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
142	SAMN08144490	SRX3454149	2017-12-07	35	14	2018-04-20	SRR6357722	SRS2742847	GSM2879690	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
124	SAMN08144489	SRX3454150	2017-12-07	6	2	2018-04-20	SRR6357723	SRS2742848	GSM2879691	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
138	SAMN08144488	SRX3454151	2017-12-07	9	3	2018-04-20	SRR6357724	SRS2742849	GSM2879692	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
134	SAMN08144487	SRX3454152	2017-12-07	63	24	2018-04-20	SRR6357725	SRS2742850	GSM2879693	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
118	SAMN08144486	SRX3454153	2017-12-07	3	1	2018-04-20	SRR6357726	SRS2742851	GSM2879694	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
131	SAMN08144485	SRX3454154	2017-12-07	7	3	2018-04-20	SRR6357727	SRS2742852	GSM2879695	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
132	SAMN08144484	SRX3454155	2017-12-07	7	2	2018-04-20	SRR6357728	SRS2742853	GSM2879696	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
130	SAMN08144483	SRX3454156	2017-12-07	7	3	2018-04-20	SRR6357729	SRS2742854	GSM2879697	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
145	SAMN08144482	SRX3454157	2017-12-07	0	0	2018-04-20	SRR6357730	SRS2742856	GSM2879698	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
140	SAMN08144481	SRX3454158	2017-12-07	28	11	2018-04-20	SRR6357731	SRS2742855	GSM2879699	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
118	SAMN08144480	SRX3454159	2017-12-07	3	1	2018-04-20	SRR6357732	SRS2742857	GSM2879700	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
132	SAMN08144479	SRX3454160	2017-12-07	55	22	2018-04-20	SRR6357733	SRS2742858	GSM2879701	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
132	SAMN08144478	SRX3454161	2017-12-07	49	19	2018-04-20	SRR6357734	SRS2742859	GSM2879702	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
121	SAMN08144477	SRX3454162	2017-12-07	4	1	2018-04-20	SRR6357735	SRS2742861	GSM2879703	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
132	SAMN08144476	SRX3454163	2017-12-07	67	26	2018-04-20	SRR6357736	SRS2742860	GSM2879704	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
131	SAMN08144475	SRX3454164	2017-12-07	68	27	2018-04-20	SRR6357737	SRS2742863	GSM2879705	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
132	SAMN08144474	SRX3454165	2017-12-07	62	24	2018-04-20	SRR6357738	SRS2742862	GSM2879706	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
133	SAMN08144473	SRX3454166	2017-12-07	70	28	2018-04-20	SRR6357739	SRS2742866	GSM2879707	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
132	SAMN08144472	SRX3454167	2017-12-07	81	32	2018-04-20	SRR6357740	SRS2742867	GSM2879708	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
121	SAMN08144471	SRX3454168	2017-12-07	5	2	2018-04-20	SRR6357741	SRS2742864	GSM2879709	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
121	SAMN08144470	SRX3454169	2017-12-07	1	0	2018-04-20	SRR6357742	SRS2742865	GSM2879710	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
116	SAMN08144469	SRX3454170	2017-12-07	3	1	2018-04-20	SRR6357743	SRS2742868	GSM2879711	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
143	SAMN08144468	SRX3454171	2017-12-07	0	0	2018-04-20	SRR6357744	SRS2742871	GSM2879712	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
141	SAMN08144467	SRX3454172	2017-12-07	35	14	2018-04-20	SRR6357745	SRS2742869	GSM2879713	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
133	SAMN08144466	SRX3454173	2017-12-07	55	22	2018-04-20	SRR6357746	SRS2742870	GSM2879714	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
117	SAMN08144465	SRX3454174	2017-12-07	2	1	2018-04-20	SRR6357747	SRS2742872	GSM2879715	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
131	SAMN08144464	SRX3454175	2017-12-07	44	18	2018-04-20	SRR6357748	SRS2742873	GSM2879716	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
136	SAMN08144463	SRX3454176	2017-12-07	38	15	2018-04-20	SRR6357749	SRS2742874	GSM2879717	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
117	SAMN08144462	SRX3454177	2017-12-07	3	1	2018-04-20	SRR6357750	SRS2742875	GSM2879718	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
131	SAMN08144461	SRX3454178	2017-12-07	65	26	2018-04-20	SRR6357751	SRS2742876	GSM2879719	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
140	SAMN08144460	SRX3454179	2017-12-07	22	9	2018-04-20	SRR6357752	SRS2742877	GSM2879720	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
138	SAMN08144459	SRX3454180	2017-12-07	11	4	2018-04-20	SRR6357753	SRS2742878	GSM2879721	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
118	SAMN08144458	SRX3454181	2017-12-07	5	2	2018-04-20	SRR6357754	SRS2742879	GSM2879722	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
130	SAMN08144457	SRX3454182	2017-12-07	74	30	2018-04-20	SRR6357755	SRS2742880	GSM2879723	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
134	SAMN08144456	SRX3454183	2017-12-07	46	18	2018-04-20	SRR6357756	SRS2742882	GSM2879724	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
146	SAMN08144455	SRX3454184	2017-12-07	0	0	2018-04-20	SRR6357757	SRS2742883	GSM2879725	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
125	SAMN08144454	SRX3454185	2017-12-07	60	24	2018-04-20	SRR6357758	SRS2742881	GSM2879726	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
132	SAMN08144453	SRX3454186	2018-05-09	76	30	2018-05-09	SRR6357759	SRS2742884	GSM2879727	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
131	SAMN08144452	SRX3454187	2017-12-07	71	28	2018-04-20	SRR6357760	SRS2742885	GSM2879728	Jurkat	single Jurkat T cell			Jurkat T cells	ATAC-seq	PRJNA421486	GEO	public	sra	ncbi	0	NextSeq 500	PAIRED	other	GENOMIC	Homo sapiens	ILLUMINA	SRP126342	male
